bezirk_key,bezirk_name,prognose_key,prognose_name,bezirksregion_key,bezirksregion_name,kiez_key,kiez_name
02,Friedrichshain-Kreuzberg,0205,Friedrichshain Ost,020508,Frankfurter Allee Süd FK,02050802,Boxhagener Platz
02,Friedrichshain-Kreuzberg,0205,Friedrichshain Ost,020508,Frankfurter Allee Süd FK,02050803,Stralauer Kiez
02,Friedrichshain-Kreuzberg,0205,Friedrichshain Ost,020508,Frankfurter Allee Süd FK,02050804,Stralauer Halbinsel
03,Pankow,0301,Buch,030101,Buch,03010101,Bucher Forst
03,Pankow,0301,Buch,030101,Buch,03010102,Buch
03,Pankow,0301,Buch,030101,Buch,03010104,Lietzengraben
03,Pankow,0302,Nördliches Pankow,030202,Blankenfelde/Niederschönhausen,03020203,Blankenfelde
03,Pankow,0302,Nördliches Pankow,030202,Blankenfelde/Niederschönhausen,03020209,Niederschönhausen
03,Pankow,0302,Nördliches Pankow,030202,Blankenfelde/Niederschönhausen,03020210,Herthaplatz
03,Pankow,0302,Nördliches Pankow,030203,Buchholz,03020307,Buchholz
03,Pankow,0303,Nördliches Weißensee,030304,Karow,03030405,Karow Nord
03,Pankow,0303,Nördliches Weißensee,030304,Karow,03030406,Alt-Karow
03,Pankow,0303,Nördliches Weißensee,030307,Blankenburg/Heinersdorf/Märchenland,03030711,Blankenburg
03,Pankow,0303,Nördliches Weißensee,030307,Blankenburg/Heinersdorf/Märchenland,03030715,Heinersdorf
03,Pankow,0303,Nördliches Weißensee,030307,Blankenburg/Heinersdorf/Märchenland,03030716,Märchenland
03,Pankow,0304,Südliches Pankow,030405,Schönholz/Wilhelmsruh/Rosenthal,03040508,Rosenthal
03,Pankow,0304,Südliches Pankow,030405,Schönholz/Wilhelmsruh/Rosenthal,03040512,Wilhelmsruh
03,Pankow,0304,Südliches Pankow,030405,Schönholz/Wilhelmsruh/Rosenthal,03040513,Schönholz
03,Pankow,0304,Südliches Pankow,030406,Pankow Zentrum,03040614,Pankow Zentrum
03,Pankow,0304,Südliches Pankow,030408,Pankow Süd,03040818,Pankow Süd
03,Pankow,0305,Südliches Weißensee,030509,Weißensee,03050919,Gustav-Adolf-Straße
03,Pankow,0305,Südliches Weißensee,030509,Weißensee,03050920,Weißer See
03,Pankow,0305,Südliches Weißensee,030509,Weißensee,03050923,Weißenseer Spitze
03,Pankow,0305,Südliches Weißensee,030509,Weißensee,03050924,Behaimstraße
03,Pankow,0305,Südliches Weißensee,030509,Weißensee,03050925,Komponistenviertel Weißensee
03,Pankow,0305,Südliches Weißensee,030510,Weißensee Ost,03051017,Rennbahnstraße
03,Pankow,0305,Südliches Weißensee,030510,Weißensee Ost,03051021,Buschallee
03,Pankow,0305,Südliches Weißensee,030510,Weißensee Ost,03051022,Hansastraße
03,Pankow,0306,Nördlicher Prenzlauer Berg,030611,Prenzlauer Berg Nordwest,03061126,Arnimplatz
03,Pankow,0306,Nördlicher Prenzlauer Berg,030611,Prenzlauer Berg Nordwest,03061131,Falkplatz
03,Pankow,0306,Nördlicher Prenzlauer Berg,030612,Prenzlauer Berg Nord,03061227,Humannplatz
03,Pankow,0306,Nördlicher Prenzlauer Berg,030612,Prenzlauer Berg Nord,03061228,Erich-Weinert-Straße
03,Pankow,0306,Nördlicher Prenzlauer Berg,030613,Helmholtzplatz,03061332,Helmholtzplatz
03,Pankow,0306,Nördlicher Prenzlauer Berg,030614,Prenzlauer Berg Ost,03061429,Greifswalder Straße
03,Pankow,0306,Nördlicher Prenzlauer Berg,030614,Prenzlauer Berg Ost,03061430,Volkspark Prenzlauer Berg
03,Pankow,0306,Nördlicher Prenzlauer Berg,030614,Prenzlauer Berg Ost,03061434,Anton-Saefkow-Park
03,Pankow,0306,Nördlicher Prenzlauer Berg,030614,Prenzlauer Berg Ost,03061435,Conrad-Blenkle-Straße
03,Pankow,0306,Nördlicher Prenzlauer Berg,030614,Prenzlauer Berg Ost,03061441,Eldenaer Straße
03,Pankow,0307,Südlicher Prenzlauer Berg,030715,Prenzlauer Berg Südwest,03071536,Teutoburger Platz
03,Pankow,0307,Südlicher Prenzlauer Berg,030715,Prenzlauer Berg Südwest,03071537,Kollwitzplatz
03,Pankow,0307,Südlicher Prenzlauer Berg,030716,Prenzlauer Berg Süd,03071633,Thälmannpark
03,Pankow,0307,Südlicher Prenzlauer Berg,030716,Prenzlauer Berg Süd,03071638,Winsstraße
03,Pankow,0307,Südlicher Prenzlauer Berg,030716,Prenzlauer Berg Süd,03071639,Bötzowstraße
04,Charlottenburg-Wilmersdorf,0401,CW 1,040101,Charlottenburg Nord,04010101,Jungfernheide
04,Charlottenburg-Wilmersdorf,0401,CW 1,040101,Charlottenburg Nord,04010102,Plötzensee
04,Charlottenburg-Wilmersdorf,0401,CW 1,040101,Charlottenburg Nord,04010103,Paul-Hertz-Siedlung
04,Charlottenburg-Wilmersdorf,0402,CW 2,040202,Heerstraße,04020204,Olympiagelände
04,Charlottenburg-Wilmersdorf,0402,CW 2,040202,Heerstraße,04020205,Siedlung Ruhleben
04,Charlottenburg-Wilmersdorf,0402,CW 2,040202,Heerstraße,04020206,Angerburger Allee
04,Charlottenburg-Wilmersdorf,0402,CW 2,040202,Heerstraße,04020207,Flatowallee
04,Charlottenburg-Wilmersdorf,0402,CW 2,040202,Heerstraße,04020208,Kranzallee
04,Charlottenburg-Wilmersdorf,0402,CW 2,040202,Heerstraße,04020209,Eichkamp
04,Charlottenburg-Wilmersdorf,0402,CW 2,040203,Westend,04020310,Park Ruhwald
04,Charlottenburg-Wilmersdorf,0402,CW 2,040203,Westend,04020311,Reichsstraße
04,Charlottenburg-Wilmersdorf,0402,CW 2,040203,Westend,04020312,Branitzer Platz
04,Charlottenburg-Wilmersdorf,0402,CW 2,040203,Westend,04020313,Königin-Elisabeth-Straße
04,Charlottenburg-Wilmersdorf,0402,CW 2,040203,Westend,04020314,Messegelände
04,Charlottenburg-Wilmersdorf,0403,CW 3,040304,Schloß Charlottenburg,04030415,Schloßgarten
04,Charlottenburg-Wilmersdorf,0403,CW 3,040304,Schloß Charlottenburg,04030416,Klausenerplatz
04,Charlottenburg-Wilmersdorf,0403,CW 3,040304,Schloß Charlottenburg,04030417,Schloßstraße
04,Charlottenburg-Wilmersdorf,0403,CW 3,040305,Mierendorffplatz,04030518,Tegeler Weg
04,Charlottenburg-Wilmersdorf,0403,CW 3,040305,Mierendorffplatz,04030519,Kaiserin-Augusta-Allee
04,Charlottenburg-Wilmersdorf,0403,CW 3,040306,Otto-Suhr-Allee,04030620,Alt-Lietzow
04,Charlottenburg-Wilmersdorf,0403,CW 3,040306,Otto-Suhr-Allee,04030621,Spreestadt
04,Charlottenburg-Wilmersdorf,0403,CW 3,040306,Otto-Suhr-Allee,04030622,Richard-Wagner-Straße
04,Charlottenburg-Wilmersdorf,0403,CW 3,040306,Otto-Suhr-Allee,04030623,Ernst-Reuter-Platz
04,Charlottenburg-Wilmersdorf,0403,CW 3,040307,Neue Kantstraße,04030724,Lietzensee
04,Charlottenburg-Wilmersdorf,0403,CW 3,040307,Neue Kantstraße,04030725,Amtsgerichtsplatz
04,Charlottenburg-Wilmersdorf,0403,CW 3,040307,Neue Kantstraße,04030726,Droysenstraße
04,Charlottenburg-Wilmersdorf,0403,CW 3,040308,Kantstraße,04030827,Karl-August-Platz
04,Charlottenburg-Wilmersdorf,0403,CW 3,040308,Kantstraße,04030828,Savignyplatz
04,Charlottenburg-Wilmersdorf,0403,CW 3,040309,Kurfürstendamm,04030929,Hindemithplatz
04,Charlottenburg-Wilmersdorf,0403,CW 3,040309,Kurfürstendamm,04030930,George-Grosz-Platz
04,Charlottenburg-Wilmersdorf,0403,CW 3,040309,Kurfürstendamm,04030931,Breitscheidplatz
04,Charlottenburg-Wilmersdorf,0403,CW 3,040310,Halensee,04031032,Halensee
04,Charlottenburg-Wilmersdorf,0404,CW 4,040411,Grunewald,04041133,Güterbahnhof Grunewald
04,Charlottenburg-Wilmersdorf,0404,CW 4,040411,Grunewald,04041134,Bismarckallee
04,Charlottenburg-Wilmersdorf,0404,CW 4,040411,Grunewald,04041135,Hundekehle
04,Charlottenburg-Wilmersdorf,0404,CW 4,040411,Grunewald,04041136,Hagenplatz
04,Charlottenburg-Wilmersdorf,0404,CW 4,040411,Grunewald,04041137,Flinsberger Platz
04,Charlottenburg-Wilmersdorf,0404,CW 4,040412,Schmargendorf,04041238,Kissinger Straße
04,Charlottenburg-Wilmersdorf,0404,CW 4,040412,Schmargendorf,04041239,Stadion Wilmersdorf
04,Charlottenburg-Wilmersdorf,0404,CW 4,040412,Schmargendorf,04041240,Messelpark
04,Charlottenburg-Wilmersdorf,0404,CW 4,040412,Schmargendorf,04041241,Breite Straße
04,Charlottenburg-Wilmersdorf,0404,CW 4,040413,Wiesbadener Straße,04041342,Schlangenbader Straße
04,Charlottenburg-Wilmersdorf,0404,CW 4,040413,Wiesbadener Straße,04041343,Binger Straße
