bezirk_key;bezirk_name;prognose_key;prognose_name;bezirksregion_key;bezirksregion_name;kiez_key;kiez_name
2;Friedrichshain-Kreuzberg;205;Friedrichshain Ost;20508;Frankfurter Allee Süd FK;2050803;Stralauer Kiez
2;Friedrichshain-Kreuzberg;205;Friedrichshain Ost;20508;Frankfurter Allee Süd FK;2050804;Stralauer Halbinsel
3;Pankow;301;Buch;30101;Buch;3010101;Bucher Forst
3;Pankow;301;Buch;30101;Buch;3010102;Buch
3;Pankow;301;Buch;30101;Buch;3010104;Lietzengraben
3;Pankow;302;Nördliches Pankow;30202;Blankenfelde/Niederschönhausen;3020203;Blankenfelde
3;Pankow;302;Nördliches Pankow;30202;Blankenfelde/Niederschönhausen;3020209;Niederschönhausen
3;Pankow;302;Nördliches Pankow;30202;Blankenfelde/Niederschönhausen;3020210;Herthaplatz
3;Pankow;302;Nördliches Pankow;30203;Buchholz;3020307;Buchholz
3;Pankow;303;Nördliches Weißensee;30304;Karow;3030405;Karow Nord
3;Pankow;303;Nördliches Weißensee;30304;Karow;3030406;Alt-Karow
3;Pankow;303;Nördliches Weißensee;30307;Blankenburg/Heinersdorf/Märchenland;3030711;Blankenburg
3;Pankow;303;Nördliches Weißensee;30307;Blankenburg/Heinersdorf/Märchenland;3030715;Heinersdorf
3;Pankow;303;Nördliches Weißensee;30307;Blankenburg/Heinersdorf/Märchenland;3030716;Märchenland
3;Pankow;304;Südliches Pankow;30405;Schönholz/Wilhelmsruh/Rosenthal;3040508;Rosenthal
3;Pankow;304;Südliches Pankow;30405;Schönholz/Wilhelmsruh/Rosenthal;3040512;Wilhelmsruh
3;Pankow;304;Südliches Pankow;30405;Schönholz/Wilhelmsruh/Rosenthal;3040513;Schönholz
3;Pankow;304;Südliches Pankow;30406;Pankow Zentrum;3040614;Pankow Zentrum
3;Pankow;304;Südliches Pankow;30408;Pankow Süd;3040818;Pankow Süd
3;Pankow;305;Südliches Weißensee;30509;Weißensee;3050919;Gustav-Adolf-Straße
3;Pankow;305;Südliches Weißensee;30509;Weißensee;3050920;Weißer See
3;Pankow;305;Südliches Weißensee;30509;Weißensee;3050923;Weißenseer Spitze
3;Pankow;305;Südliches Weißensee;30509;Weißensee;3050924;Behaimstraße
3;Pankow;305;Südliches Weißensee;30509;Weißensee;3050925;Komponistenviertel Weißensee
3;Pankow;305;Südliches Weißensee;30510;Weißensee Ost;3051017;Rennbahnstraße
3;Pankow;305;Südliches Weißensee;30510;Weißensee Ost;3051021;Buschallee
3;Pankow;305;Südliches Weißensee;30510;Weißensee Ost;3051022;Hansastraße
3;Pankow;306;Nördlicher Prenzlauer Berg;30611;Prenzlauer Berg Nordwest;3061126;Arnimplatz
3;Pankow;306;Nördlicher Prenzlauer Berg;30611;Prenzlauer Berg Nordwest;3061131;Falkplatz
3;Pankow;306;Nördlicher Prenzlauer Berg;30612;Prenzlauer Berg Nord;3061227;Humannplatz
3;Pankow;306;Nördlicher Prenzlauer Berg;30612;Prenzlauer Berg Nord;3061228;Erich-Weinert-Straße
3;Pankow;306;Nördlicher Prenzlauer Berg;30613;Helmholtzplatz;3061332;Helmholtzplatz
3;Pankow;306;Nördlicher Prenzlauer Berg;30614;Prenzlauer Berg Ost;3061429;Greifswalder Straße
3;Pankow;306;Nördlicher Prenzlauer Berg;30614;Prenzlauer Berg Ost;3061430;Volkspark Prenzlauer Berg
3;Pankow;306;Nördlicher Prenzlauer Berg;30614;Prenzlauer Berg Ost;3061434;Anton-Saefkow-Park
3;Pankow;306;Nördlicher Prenzlauer Berg;30614;Prenzlauer Berg Ost;3061435;Conrad-Blenkle-Straße
3;Pankow;306;Nördlicher Prenzlauer Berg;30614;Prenzlauer Berg Ost;3061441;Eldenaer Straße
3;Pankow;307;Südlicher Prenzlauer Berg;30715;Prenzlauer Berg Südwest;3071536;Teutoburger Platz
3;Pankow;307;Südlicher Prenzlauer Berg;30715;Prenzlauer Berg Südwest;3071537;Kollwitzplatz
